Angels,Number
0,1
1,360
2,180
3,120
4,90
5,72
6,60
7,360
8,45
9,40
10,36
11,360
12,30
13,360
14,180
15,24
16,45
17,360
18,20
19,360
20,18
21,120
22,180
23,360
24,15
25,72
26,180
27,40
28,90
29,360
30,12
31,360
32,45
33,120
34,180
35,72
36,10
37,360
38,180
39,120
40,9
41,360
42,60
43,360
44,90
45,8
46,180
47,360
48,15
49,360
50,36
51,120
52,90
53,360
54,20
55,72
56,45
57,120
58,180
59,360
60,6
61,360
62,180
63,40
64,45
65,72
66,60
67,360
68,90
69,120
70,36
71,360
72,5
73,360
74,180
75,24
76,90
77,360
78,60
79,360
80,9
81,40
82,180
83,360
84,30
85,72
86,180
87,120
88,45
89,360
90,4
91,360
92,90
93,120
94,180
95,72
96,15
97,360
98,180
99,40
100,18
101,360
102,60
103,360
104,45
105,24
106,180
107,360
108,10
109,360
110,36
111,120
112,45
113,360
114,60
115,72
116,90
117,40
118,180
119,360
120,3
121,360
122,180
123,120
124,90
125,72
126,20
127,360
128,45
129,120
130,36
131,360
132,30
133,360
134,180
135,8
136,45
137,360
138,60
139,360
140,18
141,120
142,180
143,360
144,5
145,72
146,180
147,120
148,90
149,360
150,12
151,360
152,45
153,40
154,180
155,72
156,30
157,360
158,180
159,120
160,9
161,360
162,20
163,360
164,90
165,24
166,180
167,360
168,15
169,360
170,36
171,40
172,90
173,360
174,60
175,72
176,45
177,120
178,180
179,360
180,2
181,360
182,180
183,120
184,45
185,72
186,60
187,360
188,90
189,40
190,36
191,360
192,15
193,360
194,180
195,24
196,90
197,360
198,20
199,360
200,9
201,120
202,180
203,360
204,30
205,72
206,180
207,40
208,45
209,360
210,12
211,360
212,90
213,120
214,180
215,72
216,5
217,360
218,180
219,120
220,18
221,360
222,60
223,360
224,45
225,8
226,180
227,360
228,30
229,360
230,36
231,120
232,45
233,360
234,20
235,72
236,90
237,120
238,180
239,360
240,3
241,360
242,180
243,40
244,90
245,72
246,60
247,360
248,45
249,120
250,36
251,360
252,10
253,360
254,180
255,24
256,45
257,360
258,60
259,360
260,18
261,40
262,180
263,360
264,15
265,72
266,180
267,120
268,90
269,360
270,4
271,360
272,45
273,120
274,180
275,72
276,30
277,360
278,180
279,40
280,9
281,360
282,60
283,360
284,90
285,24
286,180
287,360
288,5
289,360
290,36
291,120
292,90
293,360
294,60
295,72
296,45
297,40
298,180
299,360
300,6
301,360
302,180
303,120
304,45
305,72
306,20
307,360
308,90
309,120
310,36
311,360
312,15
313,360
314,180
315,8
316,90
317,360
318,60
319,360
320,9
321,120
322,180
323,360
324,10
325,72
326,180
327,120
328,45
329,360
330,12
331,360
332,90
333,40
334,180
335,72
336,15
337,360
338,180
339,120
340,18
341,360
342,20
343,360
344,45
345,24
346,180
347,360
348,30
349,360
350,36
351,40
352,45
353,360
354,60
355,72
356,90
357,120
358,180
359,360